Perioden;Burgerlijke staat;0 tot 5 jaar;5 tot 10 jaar;10 tot 15 jaar;15 tot 20 jaar;20 tot 25 jaar;25 tot 30 jaar;30 tot 35 jaar;35 tot 40 jaar;40 tot 45 jaar;45 tot 50 jaar;50 tot 55 jaar;55 tot 60 jaar;60 tot 65 jaar;65 tot 70 jaar;70 tot 75 jaar;75 tot 80 jaar;80 tot 85 jaar;85 tot 90 jaar;90 tot 95 jaar;95 jaar of ouder;95 tot 100 jaar;100 jaar of ouder
2011;Ongehuwd;923106;985229;998740;1005715;986857;774950;552397;430417;353376;254472;175878;114152;77865;41434;32047;26184;20774;12944;5150;1619;1417;202
2011;Gehuwd;0;0;0;1009;46257;213300;413960;605162;790296;847284;820899;782120;816478;578475;431940;289066;158225;58498;10960;1037;994;43
2011;Verweduwd;0;0;0;1;52;289;929;2529;5963;12288;22254;37856;68387;84581;114663;149406;162954;131714;57409;15222;13714;1508
2011;Gescheiden;0;0;0;19;1563;12999;37478;83460;146290;184248;177288;156119;140922;86070;58868;34665;18875;8900;2672;594;543;51
2012;Ongehuwd;918736;968692;1009231;997141;1003877;789173;561011;423921;367360;265363;187339;122291;80826;47559;32100;26021;20563;13141;5383;1606;1402;204
2012;Gehuwd;0;0;0;938;43990;209363;410709;568784;771558;834838;824033;783918;784726;639589;442063;296854;164791;61545;12234;1083;1046;37
2012;Verweduwd;0;0;0;1;40;290;886;2387;5679;11828;21591;37239;63803;89433;113231;146759;163001;132021;61690;15911;14297;1614
2012;Gescheiden;0;0;0;15;1630;12485;36653;76694;143956;185276;183480;161094;141135;97475;62359;36910;20227;9180;2986;653;598;55
2013;Ongehuwd;912202;949986;1015734;992002;1013332;805493;567635;419038;377305;276780;198191;130865;85407;53040;32552;25650;20476;13030;5546;1635;1427;208
2013;Gehuwd;0;0;0;837;41632;205081;404995;537751;746898;818501;825627;782028;763959;686983;455485;304109;171787;64021;13030;1108;1073;35
2013;Verweduwd;0;0;0;1;48;281;876;2192;5415;11308;21133;36176;60268;93135;113084;143273;164078;131946;64655;16311;14666;1645
2013;Gescheiden;0;0;0;11;1675;12535;35963;71831;140572;185435;189960;166108;142163;108656;66459;39099;21522;9770;3238;667;617;50
2014;Ongehuwd;897669;936162;1016243;995203;1021924;823948;573778;422893;380792;288701;210320;140414;90860;58032;33378;25661;20186;12927;5870;1538;1333;205
2014;Gehuwd;0;0;0;747;38725;199984;396394;517493;710212;800586;825456;783315;750287;715684;472061;316299;177364;67111;14187;1124;1091;33
2014;Verweduwd;0;0;0;1;30;278;820;2086;5188;10721;20395;35435;57928;95052;112972;142810;162665;132139;68208;16564;14772;1792
2014;Gescheiden;0;0;0;15;1630;12568;35885;69216;136123;185470;197096;172145;145129;116992;70536;42458;22832;10174;3508;692;629;63
2015;Ongehuwd;888322;929655;1009089;1000345;1030787;841953;584777;428803;377731;304909;222727;151407;97063;63365;34653;26056;19872;12971;5867;1614;1401;213
2015;Gehuwd;0;0;0;632;36673;195946;391015;503356;665332;783935;822781;786182;743818;731573;492340;328237;184288;70728;15198;1225;1179;46
2015;Verweduwd;0;0;0;0;33;274;780;1919;4785;10175;19956;34460;56173;94875;113702;142206;161805;133064;71230;17268;15432;1836
2015;Gescheiden;0;0;0;16;1539;12501;36169;67922;129016;186898;204720;179337;149130;124619;75048;46035;24527;10858;3783;678;603;75
2016;Ongehuwd;876854;930038;992880;1018001;1029385;865026;594231;440649;372294;321174;234286;162233;103856;69263;35702;26139;19594;12989;5910;1649;1443;206
2016;Gehuwd;0;0;0;712;35190;193278;386473;499334;622257;769201;816433;788113;741572;748843;502632;342099;189642;74502;15852;1421;1379;42
2016;Verweduwd;0;0;0;1;26;252;775;1831;4417;9689;19156;33639;55097;95893;113194;142007;159752;135222;71249;18683;16903;1780
2016;Gescheiden;0;0;0;13;1345;12446;35862;67599;121014;186680;210644;186629;153227;132704;77984;50100;25948;11587;3967;781;708;73
2017;Ongehuwd;872289;929180;980299;1034607;1030346;885267;607614;449579;368123;335068;244951;173245;111490;72107;41009;26107;19309;12812;5994;1665;1467;198
2017;Gehuwd;0;0;0;782;34606;192550;387941;499371;588332;752293;805338;791302;743520;720545;557501;351516;196244;78310;16739;1578;1523;55
