Leeftijd;2011;2012;2013;2014;2015;2016;2017;2018;2019
15 jaar of jonger;30;33;27;19;20;14;13;12;7
16 jaar;79;72;57;56;55;50;27;41;21
17 jaar;190;193;158;155;144;117;141;102;99
18 jaar;452;432;381;363;281;282;263;237;227
19 jaar;966;862;737;683;609;613;579;558;561
20 jaar;1429;1384;1247;1218;1071;981;925;892;825
21 jaar;2149;1932;1840;1746;1624;1582;1323;1329;1345
22 jaar;2870;2786;2664;2505;2390;2245;2149;1995;1862
23 jaar;3884;3801;3863;3654;3412;3313;3064;2939;2763
24 jaar;5450;5303;4967;5090;4628;4459;4261;4068;3890
25 jaar;6877;6702;6629;6545;6335;6072;5730;5527;5445
26 jaar;8624;8814;8253;8318;7861;7980;7740;7251;7067
27 jaar;10125;10320;10131;10110;9595;9730;9634;9326;8949
28 jaar;11564;11696;11610;11950;11639;11629;11289;11295;11097
29 jaar;13105;12839;12719;13384;13294;13146;12804;12575;12742
30 jaar;14573;13989;13532;14152;14005;14728;14235;13848;14041
31 jaar;15230;14803;13966;14315;14474;14727;14613;14676;14720
32 jaar;14319;14584;14000;14203;13579;13998;14171;14601;14629
33 jaar;13318;12744;13024;13407;12664;12709;13004;13289;13880
34 jaar;11734;11369;11403;12043;11651;11598;11552;11696;11935
35 jaar;10180;9891;9734;9961;10362;10414;10183;10147;10457
36 jaar;8492;8140;8145;8334;8348;8880;8623;8481;8716
37 jaar;6879;6580;6333;6649;6522;6811;6999;6828;6874
38 jaar;5456;5164;4821;5105;5108;5161;5187;5448;5379
39 jaar;4333;3950;3906;3748;3730;3939;3913;3811;4306
40 jaar;3039;2981;2720;2798;2686;2776;2868;2894;2983
41 jaar;2150;1972;1906;1883;1745;1842;1795;1975;1961
42 jaar;1169;1217;1165;1233;1211;1193;1162;1151;1292
43 jaar;713;721;669;731;736;696;757;701;745
44 jaar;322;321;376;401;355;415;359;368;375
45 jaar;171;171;196;212;185;207;211;192;218
46 jaar;89;90;78;98;72;102;107;124;114
47 jaar;44;40;40;40;54;50;63;60;62
48 jaar;19;23;20;21;21;26;34;33;27
49 jaar of ouder;36;40;24;51;44;35;58;55;66
