Leeftijd;Jaar;Levende mannen;Levende vrouwen
0;2011;100000;100000
1;2011;99638;99711
2;2011;99581;99677
3;2011;99560;99661
5;2011;99530;99642
6;2011;99521;99638
7;2011;99514;99630
8;2011;99505;99623
9;2011;99497;99620
10;2011;99483;99617
11;2011;99472;99607
12;2011;99463;99600
13;2011;99452;99595
14;2011;99439;99583
15;2011;99425;99573
16;2011;99410;99565
17;2011;99381;99557
18;2011;99358;99546
19;2011;99326;99522
20;2011;99293;99508
21;2011;99248;99490
22;2011;99203;99474
23;2011;99162;99449
24;2011;99123;99440
25;2011;99076;99420
26;2011;99043;99397
27;2011;99004;99374
28;2011;98960;99349
29;2011;98915;99324
30;2011;98864;99292
31;2011;98810;99266
32;2011;98769;99237
33;2011;98710;99196
34;2011;98663;99161
35;2011;98597;99124
36;2011;98543;99090
37;2011;98484;99042
38;2011;98403;98986
39;2011;98309;98924
40;2011;98223;98850
41;2011;98131;98782
42;2011;98043;98706
43;2011;97918;98607
44;2011;97817;98511
45;2011;97684;98405
46;2011;97546;98273
47;2011;97378;98141
48;2011;97197;97976
49;2011;96991;97792
50;2011;96757;97603
51;2011;96508;97383
52;2011;96218;97151
53;2011;95916;96890
54;2011;95597;96588
55;2011;95210;96286
56;2011;94812;95927
57;2011;94318;95534
58;2011;93778;95164
59;2011;93213;94737
60;2011;92544;94283
61;2011;91911;93772
62;2011;91225;93245
63;2011;90458;92710
64;2011;89603;92086
65;2011;88621;91430
66;2011;87610;90738
67;2011;86382;89918
68;2011;85177;89043
69;2011;83880;88168
70;2011;82367;87216
71;2011;80776;86124
72;2011;79133;85003
73;2011;77246;83804
74;2011;75222;82483
75;2011;73002;80957
76;2011;70542;79349
77;2011;67896;77495
78;2011;65058;75488
79;2011;62021;73362
80;2011;58694;71079
81;2011;55180;68462
82;2011;51336;65513
83;2011;47347;62284
84;2011;43444;58734
85;2011;39458;54997
86;2011;35389;51123
87;2011;31404;46871
88;2011;27467;42498
89;2011;23596;38003
90;2011;19757;33528
91;2011;16402;29068
92;2011;13298;24790
93;2011;10475;20483
94;2011;8070;16680
95;2011;6043;13211
96;2011;4523;10165
97;2011;3159;7664
98;2011;2199;5593
99;2011;1456;4062
0;2012;100000;100000
1;2012;99646;99698
2;2012;99583;99653
3;2012;99554;99638
5;2012;99527;99616
6;2012;99514;99608
7;2012;99496;99598
8;2012;99488;99592
9;2012;99476;99578
10;2012;99467;99574
11;2012;99453;99569
12;2012;99443;99562
13;2012;99436;99555
14;2012;99421;99544
15;2012;99407;99539
16;2012;99396;99527
17;2012;99376;99511
18;2012;99348;99499
19;2012;99320;99482
20;2012;99291;99466
21;2012;99257;99452
22;2012;99214;99429
23;2012;99175;99409
24;2012;99132;99398
25;2012;99082;99381
26;2012;99030;99362
27;2012;98996;99341
28;2012;98947;99328
29;2012;98905;99313
30;2012;98858;99283
31;2012;98805;99256
32;2012;98761;99221
33;2012;98699;99190
34;2012;98623;99152
35;2012;98562;99112
36;2012;98497;99075
37;2012;98436;99040
38;2012;98370;98990
39;2012;98302;98929
40;2012;98221;98874
41;2012;98123;98805
42;2012;98017;98725
43;2012;97902;98639
44;2012;97790;98548
45;2012;97665;98447
46;2012;97527;98335
47;2012;97373;98199
48;2012;97187;98023
49;2012;96994;97854
50;2012;96776;97662
51;2012;96509;97461
52;2012;96235;97227
53;2012;95929;96998
54;2012;95580;96696
55;2012;95214;96403
56;2012;94777;96082
57;2012;94329;95737
58;2012;93795;95343
59;2012;93224;94884
60;2012;92590;94418
61;2012;91931;93904
62;2012;91213;93343
63;2012;90403;92795
64;2012;89539;92159
65;2012;88575;91521
66;2012;87537;90740
67;2012;86418;89968
68;2012;85173;89142
69;2012;83801;88223
70;2012;82352;87266
71;2012;80711;86249
72;2012;78997;85070
73;2012;77140;83771
74;2012;75107;82512
75;2012;72941;81120
76;2012;70591;79492
77;2012;68054;77670
78;2012;65286;75747
79;2012;62178;73584
80;2012;58831;71193
81;2012;55305;68547
82;2012;51716;65573
83;2012;47678;62379
84;2012;43746;58959
85;2012;39568;55174
86;2012;35269;51244
87;2012;31234;46945
88;2012;27094;42435
89;2012;23264;37898
90;2012;19664;33462
91;2012;16080;28836
92;2012;12817;24296
93;2012;10068;19884
94;2012;7701;16135
95;2012;5626;12622
96;2012;3962;9685
97;2012;2731;7176
98;2012;1897;5165
99;2012;1179;3594
0;2013;100000;100000
1;2013;99641;99700
2;2013;99587;99643
3;2013;99571;99625
5;2013;99550;99612
6;2013;99540;99604
7;2013;99527;99597
8;2013;99520;99593
9;2013;99509;99582
10;2013;99503;99578
11;2013;99495;99576
12;2013;99485;99569
13;2013;99476;99561
14;2013;99469;99550
15;2013;99458;99545
16;2013;99450;99533
17;2013;99431;99520
18;2013;99408;99500
19;2013;99379;99487
20;2013;99338;99470
21;2013;99306;99448
22;2013;99270;99427
23;2013;99233;99409
24;2013;99195;99389
25;2013;99160;99366
26;2013;99116;99355
27;2013;99071;99337
28;2013;99019;99315
29;2013;98978;99291
30;2013;98921;99264
31;2013;98865;99239
32;2013;98822;99207
33;2013;98776;99179
34;2013;98740;99140
35;2013;98687;99103
36;2013;98623;99075
37;2013;98538;99025
38;2013;98472;98989
39;2013;98401;98928
40;2013;98331;98867
41;2013;98231;98805
42;2013;98125;98743
43;2013;98026;98660
44;2013;97897;98579
45;2013;97775;98486
46;2013;97643;98384
47;2013;97516;98258
48;2013;97334;98110
49;2013;97139;97955
50;2013;96944;97773
51;2013;96702;97569
52;2013;96421;97366
53;2013;96099;97133
54;2013;95755;96865
55;2013;95388;96566
56;2013;94977;96256
57;2013;94504;95892
58;2013;93982;95507
59;2013;93408;95118
60;2013;92773;94676
