Leeftijd (op 31 december);Perioden;Mannen;Vrouwen
0;2011;0.00362;0.00289
0;2012;0.00354;0.00302
0;2013;0.00359;0.003
0;2014;0.00363;0.00286
0;2015;0.00313;0.00266
0;2016;0.00329;0.00291
0;2017;0.00354;0.0028
0;2018;0.00346;0.00272
0;2019;0.0035;0.00287
1;2011;0.00056;0.00034
1;2012;0.00063;0.00046
1;2013;0.00054;0.00057
1;2014;0.0004;0.00047
1;2015;0.00056;0.00041
1;2016;0.00046;0.00046
1;2017;0.00048;0.00046
1;2018;0.00046;0.00041
1;2019;0.00051;0.00057
2;2011;0.00021;0.00015
2;2012;0.00029;0.00015
2;2013;0.00016;0.00018
2;2014;0.00025;0.00016
2;2015;0.00018;0.00019
2;2016;0.00022;0.00013
2;2017;0.00022;0.00014
2;2018;0.00022;0.00014
2;2019;0.00027;0.00023
3;2011;0.0002;0.00013
3;2012;0.00015;0.00013
3;2013;0.00007;0.0001
3;2014;0.00011;0.00008
3;2015;0.00014;0.00005
3;2016;0.00016;0.00011
3;2017;0.0001;0.00009
3;2018;0.00009;0.00011
3;2019;0.00011;0.00009
4;2011;0.00011;0.00006
4;2012;0.00013;0.00009
4;2013;0.00014;0.00003
4;2014;0.00011;0.00013
4;2015;0.00014;0.00006
4;2016;0.00016;0.00007
4;2017;0.00009;0.00008
4;2018;0.00014;0.00013
4;2019;0.0001;0.00007
5;2011;0.00009;0.00004
5;2012;0.00013;0.00008
5;2013;0.00009;0.00008
5;2014;0.00006;0.00008
5;2015;0.00013;0.00006
5;2016;0.00008;0.00009
5;2017;0.0001;0.00007
5;2018;0.00004;0.00009
5;2019;0.00009;0.00003
6;2011;0.00006;0.00008
6;2012;0.00019;0.0001
6;2013;0.00014;0.00008
6;2014;0.00013;0.00008
6;2015;0.00002;0.00007
6;2016;0.00008;0.00009
6;2017;0.00015;0.00009
6;2018;0.0001;0.00011
6;2019;0.00009;0.00005
7;2011;0.00009;0.00007
7;2012;0.00007;0.00005
7;2013;0.00006;0.00003
7;2014;0.00009;0.00009
7;2015;0.0001;0.00006
7;2016;0.00003;0.00004
7;2017;0.00008;0.00005
7;2018;0.00007;0.00009
7;2019;0.00005;0.00005
8;2011;0.00009;0.00003
8;2012;0.00012;0.00015
8;2013;0.00011;0.00011
8;2014;0.00005;0.00008
8;2015;0.00006;0.00007
8;2016;0.00008;0.00008
8;2017;0.00007;0.00009
8;2018;0.00008;0.00001
8;2019;0.00003;0.00006
9;2011;0.00014;0.00003
9;2012;0.0001;0.00004
9;2013;0.00006;0.00004
9;2014;0.00011;0.00005
