Vermogensklassen;2011;2012;2013;2014;2015;2016;2017;2018;2019
Vermogen: tot -5 000 euro;950.9;1154.1;1438.4;1453.9;1347.6;1224;1035.4;879.3;757.2
Vermogen: -5 000 tot 0 euro;364;445.1;446.7;448.3;435.5;450.8;416;393.1;368.8
Vermogen: 0 tot 1 000 euro;578.5;494;556.5;563.3;496.4;519.9;523.2;526.3;520.2
Vermogen 1 000 tot 5 000 euro;609.3;631.1;659.9;664.3;690.5;689.8;711.9;704.2;697.4
Vermogen: 5 000 tot 10 000 euro;348.2;358.9;336.6;334.5;367.6;374.8;386.3;371.4;356.6
Vermogen: 10 000 tot 20 000 euro;436.4;426.4;389.2;390.4;441.1;466.1;485.6;476.9;446.8
Vermogen: 20 000 tot 50 000 euro;709.5;694.4;641.2;638.9;692.1;699.1;750.1;780.1;768.5
Vermogen: 50 000 tot 100 000 euro;600.1;604.8;605.8;606.8;617.8;636.1;664.3;697.2;738.1
Vermogen: 100 000 tot 200 000 euro;946;929.3;904.5;902.9;916.4;924.3;947.9;969.9;1009.5
Vermogen: 200 000 tot 500 000 euro;1275.6;1181;1041.8;1041.4;1091.5;1136.9;1225.2;1336.9;1461.8
Vermogen: 500 000 tot 1 miljoen euro;369.8;339.9;299.9;300.4;314.1;332.9;368.1;419.4;476
Vermogen: 1 miljoen euro of meer;159.2;153.1;147.3;151.3;157.9;168.5;180.9;205.8;223
