,Life event,ID,Date,Gender,Age,Life expectancy,Marital status,Marriage duration,Marriage intention,Marriage age:,Employment status,Income,Capital,Children,Nr children,Birth age,Alive
0,Life event: Created,0,2011-01-01,Male,14,83,Single,0,No,,Child,0,0,Yes,0,,1
1,Life event: Created,1,2011-01-01,Male,73,83,Divorced,0,No,,Retired,49396,40805,No,0,,1
2,Life event: Created,2,2011-01-01,Female,54,74,Married,21,Yes,,Permanent contract,17466,38662,No,2,,1
3,Life event: Created,3,2011-01-01,Male,57,96,Married,9,Yes,,Permanent contract,1349,-6444,No,3,,1
4,Life event: Created,4,2011-01-01,Male,22,86,Single,0,No,,Entrepreneur with personel,26276,14835,No,0,,1
5,Life event: Created,5,2011-01-01,Female,65,63,Married,19,No,,Permanent contract,55250,69714,Yes,2,,1
6,Life event: Created,6,2011-01-01,Male,31,91,Married,7,Yes,,Entrepreneur without personnel,19940,648735,No,1,,1
7,Life event: Created,7,2011-01-01,Female,22,98,Single,0,No,,Permanent contract,29528,24973,No,0,29.0,1
8,Life event: Created,8,2011-01-01,Male,10,21,Single,0,Yes,35.0,Child,0,0,No,0,,1
9,Life event: Created,9,2011-01-01,Male,64,96,Married,50,Yes,,Permanent contract,7895,158822,No,3,,1
10,Life event: Created,10,2011-01-01,Male,28,98,Single,0,No,,Entrepreneur without personnel,6639,-2793,No,0,,1
11,Life event: Created,11,2011-01-01,Female,19,6,Single,0,Yes,30.0,Permanent contract,8471,9127,No,0,31.0,1
12,Life event: Created,12,2011-01-01,Female,19,40,Single,0,No,,Entrepreneur with personel,37947,4185,Yes,0,27.0,1
13,Life event: Created,13,2011-01-01,Male,22,48,Single,0,No,,Permanent contract,39108,3690,Yes,0,,1
14,Life event: Created,14,2011-01-01,Male,20,97,Single,0,No,,Permanent contract,26602,12943,Yes,0,,1
15,Life event: Created,15,2011-01-01,Female,48,94,Married,53,Yes,,Permanent contract,14208,-3226,No,2,,1
16,Life event: Created,16,2011-01-01,Female,49,44,Married,5,Yes,,Permanent contract,13927,18188,No,3,,1
17,Life event: Created,17,2011-01-01,Male,6,98,Single,0,Yes,28.0,Child,0,0,No,0,,1
18,Life event: Created,18,2011-01-01,Female,40,94,Married,32,Yes,,Permanent contract,4582,-35534,No,2,,1
19,Life event: Created,19,2011-01-01,Female,59,90,Married,41,No,,Permanent contract,17256,119142,No,2,,1
20,Life event: Created,20,2011-01-01,Male,56,97,Married,28,Yes,,Entrepreneur without personnel,35763,25912,No,2,,1
21,Life event: Created,21,2011-01-01,Female,36,80,Married,40,No,,Permanent contract,15612,79860,Yes,1,,1
22,Life event: Created,22,2011-01-01,Male,77,98,Divorced,0,No,,Retired,879,3608,No,0,,1
23,Life event: Created,23,2011-01-01,Male,0,94,Single,0,No,,Child,0,0,No,0,,1
24,Life event: Created,24,2011-01-01,Female,47,97,Married,8,Yes,,Permanent contract,4226,-19597,Yes,3,,1
25,Life event: Created,25,2011-01-01,Male,32,59,Single,0,Yes,26.0,Flexible contract,45747,-2435,No,0,,1
26,Life event: Created,26,2011-01-01,Male,65,96,Divorced,0,Yes,,Flexible contract,35165,196993,No,0,,1
27,Life event: Created,27,2011-01-01,Female,62,75,Married,19,Yes,,Permanent contract,91226,60014,Yes,2,,1
28,Life event: Created,28,2011-01-01,Female,35,89,Single,0,Yes,26.0,Unemployed,97487,498158,Yes,0,,1
29,Life event: Created,29,2011-01-01,Male,31,93,Single,0,Yes,37.0,Permanent contract,55770,75641,Yes,0,,1
30,Life event: Created,30,2011-01-01,Female,0,85,Single,0,No,,Child,0,0,No,0,39.0,1
31,Life event: Created,31,2011-01-01,Male,41,88,Married,31,No,,Permanent contract,31518,768293,Yes,2,,1
32,Life event: Created,32,2011-01-01,Male,6,95,Single,0,Yes,35.0,Child,0,0,No,0,,1
33,Life event: Created,33,2011-01-01,Female,42,96,Divorced,0,No,,Permanent contract,6597,4062,Yes,0,,1
34,Life event: Created,34,2011-01-01,Female,4,21,Single,0,No,,Child,0,0,No,0,37.0,1
35,Life event: Created,35,2011-01-01,Male,20,93,Single,0,No,,Permanent contract,12852,4583,No,0,,1
36,Life event: Created,36,2011-01-01,Female,73,50,Married,13,Yes,,Retired,23845,-47300,Yes,1,,1
37,Life event: Created,37,2011-01-01,Male,58,70,Married,27,No,,Permanent contract,19432,-30598,Yes,1,,1
